country,iso3,climate_vulnerability_index,Year,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,who_stunting_rate,food_supply_kcal,poverty_below_3usd,tfp_index
Central and Southern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,NA,NA,NA
Central and Southern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA,NA
Central and Southern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,NA,NA,NA
Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3113.6423,0.51983565,127.615
Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3113.6423,0.51983565,127.615
Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3113.6423,0.51983565,127.615
Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,2167.062,39.21688,NA
Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,2167.062,39.21688,NA
Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,2167.062,39.21688,NA
Czechia,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3368.2048,0,100.115
Czechia,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3368.2048,0,100.115
Czechia,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3368.2048,0,100.115
Côte d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,NA,NA,86.2146
Côte d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,NA,86.2146
Côte d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,NA,NA,86.2146
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,NA,NA,NA
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,NA,NA,NA
Eastern Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,NA,NA,NA
Eastern Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,NA,NA,NA
Eastern Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA
Eastern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA
Eastern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA
Eastern Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA
Eastern Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA
