Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
Micronesia (country) (urban),20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.58,FALSE,None
"Micronesia, Fed. Sts.",22.3,NA,NA,NA,3941.37,67.2,112630,NA,East Asia & Pacific,Lower middle income,0.86,0.4,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Middle Africa,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
"Middle East, North Africa, Afghanistan & Pakistan",13,NA,NA,NA,6063.05,72.08,797801454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",17,NA,NA,NA,2797.41,71.28,729077445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",17,NA,NA,NA,2792.71,71.32,723911670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Middle income,13,NA,NA,NA,6347.75,72.74,5891444768,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Moldova,24.1,2.5,NA,2022-2024,6799.59,71.2,2457783,0.1,Europe & Central Asia,Upper middle income,0.35,0.27,0.08,4,584665,NA,NA,NA,NA,NA,NA,NA,NA,2635.01,117.66,0.13,FALSE,None
Monaco,5,NA,NA,NA,256580.52,86.37,38956,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Mongolia,21.4,2.5,NA,2022-2024,5838.63,72.12,3481145,NA,East Asia & Pacific,Upper middle income,0.37,0.31,0.1,5,689891,37.2,6.5,NA,NA,NA,NA,NA,NA,3099.37,130.85,0.44,FALSE,None
Montenegro,18.6,2.5,NA,2022-2024,12077.37,77.59,623529,NA,Europe & Central Asia,Upper middle income,0.2,0.34,0.07,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,3645.83,99.34,2.49,FALSE,None
Morocco,38.4,7,2.6,2022-2024,3771.45,75.31,37712505,NA,Middle East & North Africa,Lower middle income,0.6,0.4,0.23,NA,NA,43.4,12.9,NA,NA,NA,NA,NA,NA,3339.27,94.65,3.68,FALSE,None
Mozambique,79.6,21.8,7.3,2022-2024,622.99,63.61,33635160,NA,Sub-Saharan Africa,Low income,0.97,0.5,0.79,98,5107229,78.9,34,36.5,3.8,15.2,36.2,56,20.5,2175.59,124.84,81.36,FALSE,None
Myanmar,40.3,5.4,2.9,2022-2024,1233.2,66.89,54133798,NA,East Asia & Pacific,Lower middle income,0.87,0.31,0.41,251,26651391,54.3,23,NA,NA,NA,NA,NA,NA,2829.19,89.34,10.27,FALSE,None
Namibia,62.6,18.1,0.5,2022-2024,4187.61,67.39,2963095,NA,Sub-Saharan Africa,Upper middle income,0.67,0.59,0.37,8,312841,52.1,14.4,NA,NA,NA,NA,NA,NA,2297.53,91.68,22.86,FALSE,None
