Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","178","Congo","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","1.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","184","Cook Islands","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","184","Cook Islands","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","188","Costa Rica","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","188","Costa Rica","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","384","Côte d'Ivoire","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","11.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","384","Côte d'Ivoire","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","3.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","191","Croatia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","191","Croatia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","192","Cuba","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","192","Cuba","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","196","Cyprus","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","196","Cyprus","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","203","Czechia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","203","Czechia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","408","Democratic People's Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","408","Democratic People's Republic of Korea","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","180","Democratic Republic of the Congo","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","38.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","180","Democratic Republic of the Congo","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","40.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","208","Denmark","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","208","Denmark","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","262","Djibouti","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","12.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","262","Djibouti","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","212","Dominica","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","3.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","212","Dominica","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","214","Dominican Republic","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","3.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","214","Dominican Republic","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","218","Ecuador","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","12.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","218","Ecuador","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","2.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","818","Egypt","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","9.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","818","Egypt","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","10.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","222","El Salvador","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","6.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","222","El Salvador","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","226","Equatorial Guinea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","226","Equatorial Guinea","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","232","Eritrea","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","233","Estonia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","233","Estonia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","748","Eswatini","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","14.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","748","Eswatini","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","19.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","25.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","242","Fiji","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","6.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","242","Fiji","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","246","Finland","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","246","Finland","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","250","France","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","258","French Polynesia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","3.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","258","French Polynesia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","266","Gabon","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","25.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","266","Gabon","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","270","Gambia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","16.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","270","Gambia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","268","Georgia","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","268","Georgia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","276","Germany","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","276","Germany","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","288","Ghana","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","6.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","288","Ghana","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","2.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","300","Greece","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","300","Greece","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","304","Greenland","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","304","Greenland","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","308","Grenada","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","308","Grenada","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","320","Guatemala","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","11.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","320","Guatemala","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","2.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","324","Guinea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","11.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","324","Guinea","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","1.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","624","Guinea-Bissau","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","22.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","624","Guinea-Bissau","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","0.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","328","Guyana","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","328","Guyana","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","332","Haiti","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","54.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","332","Haiti","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","6.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","340","Honduras","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","14.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","340","Honduras","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","1.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","348","Hungary","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","348","Hungary","6132","Value","210011","Number of people undernourished (million) (3-year average)","20222024","2022-2024","million No","","Q","Missing value; suppressed",""
