iso3,year,undernourishment,vulnerability,ln_gdp_pcap
KWT,2016,2.5,0.364080208454773,10.21550933620804
LVA,2016,2.5,0.365716759981622,9.535211769916
LBN,2016,5.6,0.408120920657789,8.998261887411076
LBR,2016,35.7,0.564742265636181,6.571741225782789
LBY,2016,10.7,0.425609834653533,8.926092793968106
LTU,2016,2.5,0.366057686550652,9.611413870001764
LUX,2016,2.5,0.300690923925103,11.57964248847448
MDG,2016,33.3,0.560560809572194,6.118032690503652
MWI,2016,16.3,0.562367476086165,6.110371629699549
MYS,2016,3.7,0.383006491575098,9.156573926934232
MLI,2016,4.9,0.602758778752269,6.771326650186792
MLT,2016,2.5,0.328527094638096,10.183354561984498
MRT,2016,6.5,0.558962150532615,7.356130285047657
MUS,2016,7.1,0.43723837238164,9.206907015833787
MEX,2016,3.7,0.383589815721885,9.115801532054995
MNG,2016,8.9,0.391070259390769,8.19420175301428
MNE,2016,2.5,0.373353897756685,8.853541965189212
MAR,2016,3.7,0.388211825671083,8.052250484073712
MOZ,2016,39.9,0.494692762150824,6.090154769080782
MMR,2016,4.5,0.501738491263495,7.114116499598659
NAM,2016,21.7,0.472744204098145,8.388379285162827
NPL,2016,7.1,0.50022651998929,6.776799372312274
NZL,2016,2.5,0.306129278939065,10.599473687903732
NIC,2016,17.2,0.442697342501268,7.66466898665169
NER,2016,12.7,0.630497689644667,6.220006451869686
NGA,2016,10.7,0.489853259831972,7.635503254770424
MKD,2016,3.5,0.367591218268145,8.630251523427452
NOR,2016,2.5,0.255837330760311,11.16856525387484
OMN,2016,7.2,0.418133122343355,9.747429456599997
PAK,2016,13.3,0.517577893687058,7.26171065662178
PAN,2016,7.0,0.404104590723951,9.60456663761834
PNG,2016,27.8,0.567195551698301,7.747767289443794
PRY,2016,2.5,0.377967965919639,8.6613211772581
PER,2016,5.7,0.41849476256328,8.735048544819481
PHL,2016,11.4,0.471922008718057,8.001420564798059
POL,2016,2.5,0.304287020077528,9.430600739265602
PRT,2016,2.5,0.331574295999,9.902501110494697
ROU,2016,2.5,0.413232432357143,9.148947836627244
RUS,2016,2.5,0.326836001168597,9.066834623656327
RWA,2016,35.8,0.572089477344117,6.59238559660394
WSM,2016,4.6,0.50732788914515,8.33015757530341
STP,2016,18.5,0.550754704591978,7.268829657554485
SAU,2016,2.5,0.414854334091432,10.010893451696953
SEN,2016,10.0,0.536255884223343,7.143964755327409
SRB,2016,2.5,0.404403902901198,8.696572139859216
SYC,2016,4.3,0.447612184216243,9.715167718244599
SLE,2016,24.1,0.601487372724785,6.738645751094961
SVN,2016,2.5,0.31586399044547,9.973379116459535
SLB,2016,18.7,0.632055769169608,7.641386744474654
ZAF,2016,6.6,0.396398148237373,8.639624226440718
ESP,2016,2.5,0.304466877078963,10.19449930475678
LKA,2016,4.5,0.487020844067702,8.330668873241477
SDN,2016,8.9,0.608752198274164,6.94043149120602
SUR,2016,8.6,0.406545881857938,8.638384829980152
SWE,2016,2.5,0.317239696995031,10.855539120012375
CHE,2016,2.5,0.282296173158284,11.316339548751554
SYR,2016,11.5,0.475300282480281,6.486692749000349
TJK,2016,16.1,0.381683306422346,6.670399310203407
THA,2016,7.8,0.435173795677461,8.671385668570714
TLS,2016,14.9,0.558079563654326,7.197093904265923
TGO,2016,20.1,0.505427305671321,6.649737876428532
TTO,2016,7.0,0.367920809900233,9.7670469237746
TUN,2016,2.8,0.368953899119578,8.255257756555089
TKM,2016,3.4,0.371465361169527,8.645934702536955
UGA,2016,30.6,0.544002374206679,6.623662187394344
UKR,2016,2.5,0.364424804088554,7.677150830882293
ARE,2016,3.6,0.399137506752734,10.629256843859979
URY,2016,2.5,0.391574863070466,9.74154248309785
UZB,2016,2.5,0.351275618483288,7.92058435044568
VUT,2016,7.4,0.581457598563506,7.991635057883536
VNM,2016,8.0,0.47030878230909,7.913908812616166
ZMB,2016,35.1,0.496988109886863,7.122128707974946
ZWE,2016,34.3,0.519079573666197,7.249514205067467
AFG,2017,20.4,0.593829094351135,6.264292664193559
ALB,2017,4.4,0.414393459739393,8.436860835138173
DZA,2017,2.6,0.377986572045652,8.423907819012364
AGO,2017,15.2,0.509298158240381,7.798629618282736
ARG,2017,3.2,0.403895553808896,9.584142863628564
ARM,2017,2.5,0.360058152073037,8.26076524415627
AUS,2017,2.5,0.327616763315701,10.894917566024112
AUT,2017,2.5,0.298476532528222,10.76138071065254
AZE,2017,2.5,0.403565986685036,8.330188238782375
BRB,2017,2.5,0.362763830448069,9.888006368568021
BEL,2017,2.5,0.341580793339684,10.692747407539397
BLZ,2017,6.1,0.453212932973945,8.711539275671388
BEN,2017,9.7,0.583574401058511,6.961271477521295
BIH,2017,2.5,0.347346579802012,8.58392053811865
BWA,2017,20.9,0.438752651481545,8.868548975195399
BRA,2017,2.5,0.368032029415449,9.218359064350107
BGR,2017,4.2,0.356912824265622,9.070697692481037
BFA,2017,14.0,0.524013171811851,6.563984623832979
CPV,2017,16.5,0.423352194359674,8.266959933443609
KHM,2017,6.8,0.481736498247165,7.510076863232533
