region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Latin America & Caribbean,LCN,Argentina,ARG,2006,urban,EPHC-S2,urban,2006,income,3,2003 - 2024,10,0.253827726174,0.101163590823,0.055933084124,0.161390164112,26.409047556263,18.578272692228,0.404999768375,0.464444955968,0.448932689769,0.012867053144,0.026185523762,0.037457343888,0.049415219886,0.062910185778,0.078956353488,0.099322850278,0.125642470179,0.169270481046,0.33797251855,0.018748284515,42.98624039,35739148,11870.2791559298,7059.1901423301,FALSE,micro,survey,10.589,0.273078919007,2.675063769375,
Latin America & Caribbean,LCN,Argentina,ARG,2007,urban,EPHC-S2,urban,2007,income,3,2003 - 2024,10,0.247770434474,0.092635922924,0.048934133705,0.144735563567,27.240919456524,19.211333102454,0.397932788984,0.462825850232,0.446214208398,0.013920508054,0.026676933082,0.037135068691,0.049283823939,0.062915828443,0.078841057125,0.099171354201,0.125222312624,0.169467017239,0.337366096602,0.022953762149,42.98624039,36161548,12811.9021206578,7642.31712689844,FALSE,micro,survey,10.906,0.278454583083,2.563577645439,
Latin America & Caribbean,LCN,Argentina,ARG,2008,urban,EPHC-S2,urban,2008,income,3,2003 - 2024,10,0.21809891699,0.084127198266,0.045309003447,0.132371727549,27.881386718032,20.088895691892,0.377243706056,0.449867631554,0.432233297948,0.014039694463,0.027722951564,0.039417247649,0.051436465413,0.064606706117,0.080358234265,0.099960972922,0.127461091448,0.170333108294,0.324663527864,0.028807117029,42.98624039,36595981,13197.3570267029,8113.37906478233,FALSE,micro,survey,11.344,0.262433189265,2.422590708528,
Latin America & Caribbean,LCN,Argentina,ARG,2009,urban,EPHC-S2,urban,2009,income,3,2003 - 2024,10,0.201174436484,0.076016290268,0.040551271961,0.118850455633,28.855805974706,21.472273823926,0.35758453167,0.437589391039,0.416451062217,0.014450953534,0.02851845882,0.040701605219,0.053151851923,0.066960900451,0.082606065346,0.101656860377,0.128110053608,0.170666455791,0.313176794932,0.032831074295,42.98624039,37051655,12285.3784651865,7594.53415710634,FALSE,micro,survey,12.036,0.259108338091,2.266943377965,
Latin America & Caribbean,LCN,Argentina,ARG,2010,urban,EPHC-S2,urban,2010,income,3,2003 - 2024,10,0.184547468791,0.065299132774,0.032836523869,0.097866477795,29.738611527974,22.070739170605,0.347102560106,0.436765554228,0.409208780111,0.015853424115,0.029582981653,0.040885066325,0.052955864083,0.066422958261,0.082150040099,0.100511010275,0.125224050867,0.168796743913,0.317617860409,0.040900782851,42.98624039,37510366,13387.155374845801,8355.49290092823,FALSE,micro,survey,12.335,0.256339449105,2.061167197213,
Latin America & Caribbean,LCN,Argentina,ARG,2011,urban,EPHC-S2,urban,2011,income,3,2003 - 2024,10,0.157634506642,0.052437779159,0.025333137743,0.077905930914,31.632317994989,23.529957879935,0.330107249639,0.42737920566,0.405165365126,0.017040349927,0.03064398708,0.041962816253,0.054124688649,0.067217173278,0.082868463731,0.101077980492,0.126373055201,0.168624826203,0.310066659185,0.049765855381,42.98624039,37970728,14040.6189124444,9041.51261019774,FALSE,micro,survey,13.065,0.244317665492,1.878112493883,
Latin America & Caribbean,LCN,Argentina,ARG,2012,urban,EPHC-S2,urban,2012,income,3,2003 - 2024,10,0.146320284736,0.049814059182,0.024847781049,0.075272085242,31.348795342755,23.872110323635,0.31245314123,0.414373630402,0.395440960839,0.017337557583,0.032209902249,0.043596663428,0.055575213399,0.068838283791,0.084848417536,0.103550914075,0.128141661373,0.168309310568,0.297592075998,0.062377050548,42.98624039,38418182,13754.4254235596,9048.43219865067,FALSE,micro,survey,13.236,0.237101638653,1.855473125697,
Latin America & Caribbean,LCN,Argentina,ARG,2013,urban,EPHC-S2,urban,2013,income,3,2003 - 2024,10,0.147934359052,0.048788042578,0.023739985055,0.073223456715,31.374293028925,24.129427090193,0.307242058932,0.410864592041,0.390507827131,0.017712206278,0.032231170522,0.04373391814,0.056054581329,0.069787007045,0.085556554913,0.104133625187,0.128464373981,0.167677029962,0.294649532643,0.07902740762,42.98624039,38856064,13946.0950832252,9285.04973669387,FALSE,micro,survey,13.365,0.241294203024,1.85901543002,
Latin America & Caribbean,LCN,Argentina,ARG,2014,urban,EPHC-S2,urban,2014,income,3,2003 - 2024,10,0.170099842554,0.054536410134,0.026027427558,0.080405001713,29.261862045082,21.966805125845,0.31384660879,0.418224839868,0.40279387046,0.018167654807,0.032001663682,0.042966945796,0.054200285801,0.06796279352,0.083480063392,0.10268866594,0.128308280366,0.169482403814,0.300741242883,0.110914429041,42.98624039,39314105,13456.1319159151,8789.23429905508,FALSE,micro,survey,12.283,0.239548230652,1.958569211348,
Latin America & Caribbean,LCN,Argentina,ARG,2016,urban,EPHC-S2,urban,2016,income,3,2003 - 2024,10,0.166025743746,0.054262028469,0.026438425942,0.08096599933,30.362976939534,22.814355036303,0.323868096011,0.423450069977,0.398315258615,0.017404024098,0.031273698828,0.042649890606,0.054474059989,0.067715257504,0.083041984074,0.101214289127,0.127032673065,0.168162674137,0.307031448573,0.196619395325,42.98624039,40224540,13265.8860639123,8859.07204717978,FALSE,micro,survey,12.707,0.24330086366,1.935746481374,
Latin America & Caribbean,LCN,Argentina,ARG,2017,urban,EPHC-S2,urban,2017,income,3,2003 - 2024,10,0.140276132502,0.047189798059,0.023502230342,0.071053322765,31.788854206097,24.032762066379,0.310648285197,0.4143479755,0.392098636609,0.017549101778,0.032566020554,0.04395954219,0.055716826091,0.068951710128,0.084142369292,0.102492538068,0.127281642607,0.167812806466,0.299527442827,0.241862659504,42.98624039,40634617,13520.1129846159,9146.51175823056,FALSE,micro,survey,13.316,0.231759381464,1.821132650956,
Latin America & Caribbean,LCN,Argentina,ARG,2018,urban,EPHC-S2,urban,2018,income,3,2003 - 2024,10,0.177175214343,0.060761616369,0.030611338693,0.092263292395,28.649738426926,21.788387756977,0.31706668752,0.417189679234,0.392384062402,0.017158391556,0.031782051749,0.043693612033,0.055548829504,0.068642434191,0.084405847024,0.102365223481,0.127631660323,0.16728906461,0.301482885529,0.342360493082,42.98624039,41024440,13058.3285449954,8867.82553663996,FALSE,micro,survey,12.194,0.239756211959,2.045903798683,
Latin America & Caribbean,LCN,Argentina,ARG,2019,urban,EPHC-S2,urban,2019,income,3,2003 - 2024,10,0.201122604377,0.07112414714,0.035908238981,0.107537603843,27.900270272614,20.671301772232,0.341771882422,0.433141336452,0.410733858353,0.016201292664,0.029993520603,0.041477160861,0.053145770045,0.066536443288,0.082255210875,0.10086903535,0.126989041364,0.16908521533,0.313447309621,0.524079353934,42.98624039,41371540,12706.3978108968,8265.53268626385,FALSE,micro,survey,11.636,0.25126005562,2.181640760756,
Latin America & Caribbean,LCN,Argentina,ARG,2020,urban,EPHC-S2,urban,2020,income,3,2003 - 2024,10,0.247867223018,0.087359336948,0.043668314849,0.130349881546,24.338792585339,18.155481459076,0.330036347041,0.427436845715,0.416146115848,0.017139232921,0.030252480415,0.041501993185,0.052909598704,0.066882020412,0.082770976502,0.103158363796,0.128358608365,0.170736505225,0.306290220475,0.723142379878,42.98624039,41626771,11393.0505957877,7224.4052811056,FALSE,micro,survey,10.378,0.261417067414,2.43402796488,
Latin America & Caribbean,LCN,Argentina,ARG,2021,urban,EPHC-S2,urban,2021,income,3,2003 - 2024,10,0.202605126985,0.067154057764,0.033096399481,0.100813804664,26.444706440931,19.553209548908,0.324074540084,0.42445560063,0.395626184368,0.017948573725,0.032305540654,0.043177216213,0.054524050352,0.066751200012,0.082031794017,0.100454470033,0.12494378894,0.165385826388,0.312477539666,1.096529003946,42.98624039,41791064,12549.2811699342,7887.28296832706,FALSE,micro,survey,11.077,0.239310536639,2.184794682209,
